id,sentence,target
3166,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt",+
3167,"the direction , by george hickenlooper , has no snap to it , no wiseacre crackle or hard bitten cynicism",-
3168,"both lead performances are oscar size quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver",+
3169,even those of a single digit age will be able to recognize that this story is too goofy even for disney,-
3170,an already thin story boils down to surviving invaders seeking an existent anti virus if only there were one for this kind of movie,-
3171,"a superfluous sequel plagued by that old familiar feeling of ` let 's get this thing over with ' everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find",-
3172,a tasty masala,+
3173,"affirms the gifts of all involved , starting with spielberg and going right through the ranks of the players on camera and off that he brings together",+
3174,none of this is half as moving as the filmmakers seem to think,-
3175,"two fairly dull contrasting and interlocking stories about miserable scandinavian settlers in 18th century canada , and yuppie sailboaters in the here and now",-
3176,"since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche",-
3177,what makes it worth watching is quaid 's performance,+
3178,"bluto blutarsky , we miss you",-
3179,"if oscar had a category called best bad film you thought was going to be really awful but was n't , guys would probably be duking it out with the queen of the damned for the honor",-
3180,"a cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt even if the heart belongs to a big , four legged herbivore",+
3181,apparently writer director attal thought he need only cast himself and his movie star wife sitting around in their drawers to justify a film,-
3182,"if religious films are n't your bailiwick , stay away otherwise , this could be a passable date film",-
3183,it gives devastating testimony to both people 's capacity for evil and their heroic capacity for good,+
3184,obvious,-
3185,"one of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken",+
3186,"tsai has a well deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances",+
3187,the entire cast is extraordinarily good,+
3188,the ill conceived modern day ending falls flat where it should deliver a moral punch,-
3189,what jackson has accomplished here is amazing on a technical level,+
3190,john leguizamo may be a dramatic actor just not in this movie,-
3191,"were dylan thomas alive to witness first time director ethan hawke 's strained chelsea walls , he might have been tempted to change his landmark poem to , ` do not go gentle into that good theatre '",-
3192,"the acting is stiff , the story lacks all trace of wit , the sets look like they were borrowed from gilligan 's island and the cgi scooby might well be the worst special effects creation of the year",-
3193,"with tiny little jokes and nary an original idea , this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool",-
3194,"both stars manage to be funny , but , like the recent i spy , the star chemistry begs the question of whether random gags add up to a movie",-
3195,"george clooney , in his first directorial effort , presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years",+
3196,one of those so so films that could have been much better,-
3197,the author 's devotees will probably find it fascinating others may find it baffling,-
3198,there is truth here,+
3199,"the story is forgive me a little thin , and the filmmaking clumsy and rushed",-
3200,"infidelity drama is nicely shot , well edited and features a standout performance by diane lane",+
3201,"the whole affair , true story or not , feels incredibly hokey it comes off like a hallmark commercial",-
3202,the movie is so thoughtlessly assembled,-
3203,"an energetic , violent movie with a momentum that never lets up",+
3204,like being trapped at a perpetual frat party how can something so gross be so boring ?,-
3205,"what denis accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned",+
3206,"unless you 're a fanatic , the best advice is ` scooby ' do n't",-
3207,not even steven spielberg has dreamed up such blatant and sickening product placement in a movie,-
3208,"this film is so slick , superficial and trend hoppy , that it 's easy to imagine that a new software program spit out the screenplay",-
3209,"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral",-
3210,until its final minutes this is a perceptive study of two families in crisis and of two girls whose friendship is severely tested by bad luck and their own immaturity,+
3211,not once does it come close to being exciting,-
3212,rainy days and movies about the disintegration of families always get me down,-
3213,a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal,+
3214,"nelson 's movie about morally compromised figures leaves viewers feeling compromised , unable to find their way out of the fog and the ashes",-
3215,one sloughs one 's way through the mire of this alleged psychological thriller in search of purpose or even a plot,-
3216,"visually engrossing , seldom hammy , honorably mexican and burns its kahlories with conviction",+
3217,"it 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest",-
3218,most of the things that made the original men in black such a pleasure are still there,+
3219,nothing more than an amiable but unfocused bagatelle that plays like a loosely connected string of acting workshop exercises,-
3220,"some body often looks like an episode of the tv show blind date , only less technically proficient and without the pop up comments",-
3221,"the new guy does have a heart now , if it only had a brain",+
3222,has a solid emotional impact,+
3223,it never rises to its clever what if concept,-
3224,"let 's issue a moratorium , effective immediately , on treacly films about inspirational prep school professors and the children they so heartwarmingly motivate",-
3225,kung pow seems like some futile concoction that was developed hastily after oedekerk and his fellow moviemakers got through crashing a college keg party,-
3226,"if the tuxedo actually were a suit , it would fit chan like a 99 bargain basement special",-
3227,"extreme ops exceeds expectations good fun , good action , good acting , good dialogue , good pace , good cinematography",+
3228,"tadpole may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject a teenage boy in love with his stepmother",+
3229,"it 's all very cute , though not terribly funny if you 're more than six years old",-
3230,"it 's hard to fairly judge a film like ringu when you 've seen the remake first many of the effective horror elements are dampened through familiarity , yet are worthwhile",+
3231,the film is ultimately about as inspiring as a hallmark card,-
3232,"ram dass fierce grace moulds itself as an example to up and coming documentarians , of the overlooked pitfalls of such an endeavour",-
3233,"not so much a movie as a picture book for the big screen this is n't my favorite in the series , still i enjoyed it enough to recommend",+
3234,"the idea of 49 year old roberto benigni playing the wooden boy pinocchio is scary enough the reality of the new live action pinocchio he directed , cowrote and starred in borders on the grotesque",-
3235,this may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar,-
3236,has little on its mind aside from scoring points with drag gags,-
3237,"the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work",+
3238,"scotland , pa is a strangely drab romp some studio pizazz might have helped",-
3239,if your taste runs to ` difficult ' films you absolutely ca n't miss it,+
3240,"once folks started hanging out at the barbershop , they never wanted to leave chances are you wo n't , either",+
3241,"a fragile framework upon which to hang broad , mildly fleshed out characters that seem to have been conjured up only 10 minutes prior to filming",-
3242,"it 's a clear eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties",+
3243,cq 's reflection of artists and the love of cinema and self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors,+
3244,"if kaufman kept cameron diaz a prisoner in a cage with her ape , in his latest , he 'd have them mate",-
3245,"depending upon your reaction to this movie , you may never again be able to look at a red felt sharpie pen without disgust , a thrill , or the giggles",+
3246,"the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to push the envelope of bad taste for laughs",-
3247,"as crimes go , writer director michael kalesniko 's how to kill your neighbor 's dog is slight but unendurable",-
3248,"thriller directorial debut for traffic scribe gaghan has all the right parts , but the pieces do n't quite fit together",-
3249,the events of the film are just so weird that i honestly never knew what the hell was coming next,+
3250,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one",+
3251,solondz may well be the only one laughing at his own joke,-
3252,oscar caliber cast does n't live up to material,-
3253,"an entertaining british hybrid of comedy , caper thrills and quirky romance",+
3254,the whole movie is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well,-
3255,"pretension , in its own way , is a form of bravery for this reason and this reason only the power of its own steadfast , hoity toity convictions chelsea walls deserves a medal",-
3256,forget the psychology 101 study of romantic obsession and just watch the procession of costumes in castles and this wo n't seem like such a bore,-
3257,"began life as a computer game , then morphed into a movie a bad one , of course",-
3258,it 's hard not to feel you 've just watched a feature length video game with some really heavy back story,-
3259,"nasty , ugly , pointless and depressing , even if you hate clowns",-
3260,"collateral damage is , despite its alleged provocation post 9 11 , an antique , in the end as are its star , its attitude and its obliviousness",-
3261,"the whole is quite entertaining , but despite its virtues , there is an unsettled feeling to the film",+
3262,"insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances",+
3263,"a fine film , but it would be a lot better if it stuck to betty fisher and left out the other stories",+
3264,shot like a postcard and overacted with all the boozy self indulgence that brings out the worst in otherwise talented actors,-
3265,less front loaded and more shapely than the two hour version released here in 1990,+
3266,becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the papin sisters,+
3267,"effective in all its aspects , margarita happy hour represents an auspicious feature debut for chaiken",+
3268,"in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue",+
3269,"an enjoyable , if occasionally flawed , experiment",+
3270,got a david lynch jones ? then you 'd do well to check this one out because it 's straight up twin peaks action,+
3271,predecessors the mummy and the mummy returns stand as intellectual masterpieces next to the scorpion king,-
3272,"just one more collection of penis , breast and flatulence gags in search of a story or a profit or some damn thing",-
3273,"what makes the movie work to an admittedly limited extent is the commitment of two genuinely engaging performers weaver and lapaglia are both excellent , in the kind of low key way that allows us to forget that they are actually movie folk",+
3274,"the acting is just fine , but there 's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff",-
3275,"if you 're burnt out on it 's a wonderful life marathons and bored with a christmas carol , it might just be the movie you 're looking for it depends on how well flatulence gags fit into your holiday concept",+
3276,"sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff",-
3277,"cox offers plenty of glimpses at existing photos , but there are no movies of nijinsky , so instead the director treats us to an aimless hodgepodge",-
3278,"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story",-
3279,spare yet audacious,+
3280,basically a static series of semi improvised ( and semi coherent ) raps between the stars,-
3281,"if you 're a crocodile hunter fan , you 'll enjoy at least the real portions of the film if you 're looking for a story , do n't bother",-
3282,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film search it out,+
3283,beautiful to watch and holds a certain charm,+
3284,"functions as both a revealing look at the collaborative process and a timely , tongue in cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing",+
3285,a cop story that understands the medium amazingly well,+
3286,"lacking substance and soul , crossroads comes up shorter than britney 's cutoffs",-
3287,"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist",+
3288,"while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires",-
3289,suffers from over familiarity since hit hungry british filmmakers have strip mined the monty formula mercilessly since 1997,-
3290,though its atmosphere is intriguing the drama is finally too predictable to leave much of an impression,-
3291,"while the glass slipper does n't quite fit , pumpkin is definitely a unique modern fairytale",+
3292,one fantastic ( and educational ) documentary,+
3293,` rare birds ' tries to force its quirkiness upon the audience,-
3294,proves mainly that south korean filmmakers can make undemanding action movies with all the alacrity of their hollywood counterparts,+
3295,"with three excellent principal singers , a youthful and good looking diva and tenor and richly handsome locations , it 's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective",+
3296,"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough around the edges , low budget constraints",+
3297,"love may have been in the air onscreen , but i certainly was n't feeling any of it",-
3298,"too much of nemesis has a tired , talky feel",-
3299,"lazy , miserable and smug this is one of the biggest disappointments of the year",-
3300,"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad",+
3301,"flashy gadgets and whirling fight sequences may look cool , but they ca n't distract from the flawed support structure holding equilibrium up",-
3302,an old fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue,+
3303,the truth is that the truth about charlie gets increasingly tiresome,-
3304,steven spielberg brings us another masterpiece,+
3305,"( caine ) proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film",+
3306,clever but not especially compelling,-
3307,"i t 's certainly laudable that the movie deals with hot button issues in a comedic context , but barbershop is n't as funny as it should be",-
3308,a sequel that 's much too big for its britches,-
3309,"be prepared to cling to the edge of your seat , tense with suspense the ring never lets you off the hook",+
3310,"yet another iteration of what 's become one of the movies ' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally superior friends , family",-
3311,this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action,-
3312,"mattei is tiresomely grave and long winded , as if circularity itself indicated profundity",-
3313,"a classy , sprightly spin on film",+
3314,the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel,-
3315,labute was more fun when his characters were torturing each other psychologically and talking about their genitals in public,-
3316,"while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr hill higher than he 's been in a while",+
3317,sweet and memorable film,+
3318,mostly martha could have used a little trimming 10 or 15 minutes could be cut and no one would notice but it 's a pleasurable trifle the only pain you 'll feel as the credits roll is your stomach grumbling for some tasty grub,+
3319,"a morality tale whose thought provoking potential is hampered by a made for tv look , rigid performances and an asinine ` twist ' that brazenly rips off the sixth sense",-
3320,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role",-
3321,"singer composer bryan adams contributes a slew of songs a few potential hits , a few more simply intrusive to the story but the whole package certainly captures the intended , er , spirit of the piece",+
3322,"a smart , arch and rather cold blooded comedy",+
3323,"it 's leaden and predictable , and laughs are lacking",-
3324,"dazzling and sugar sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver",+
3325,"call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity",+
3326,"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original but it could have been worse",-
3327,the film makes a fatal mistake it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life,-
3328,now i can see why people thought i was too hard on the mothman prophecies,-
3329,"the powerful success of read my lips with such provocative material shows why , after only three films , director co writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers",+
3330,no amount of nostalgia for carvey 's glory days can disguise the fact that the new film is a lame kiddie flick and that carvey 's considerable talents are wasted in it,-
3331,the first bond movie in ages that is n't fake fun,+
3332,"occasionally funny and consistently odd , and it works reasonably well as a star vehicle for zhao",+
3333,it 's a day at the beach with air conditioning and popcorn,+
3334,the film is saved from are n't kids cute sentimentality by a warmth that is n't faked and a stately sense of composition,+
3335,i hated every minute of it,-
3336,"ramsay succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory",+
3337,"oft described as the antidote to american pie type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",-
3338,"made to be jaglomized is the cannes film festival , the annual riviera spree of flesh , buzz , blab and money the charming result is festival in cannes",+
3339,"it 's fun , but a psychological mess , with austin powers bumping his head on the way out of the closet",-
3340,the film is a travesty of the genre and even as spoof takes itself too seriously,-
3341,"comes off more like a misdemeanor , a flat , unconvincing drama that never catches fire",-
3342,"this is a throwaway , junk food movie whose rap soundtrack was better tended to than the film itself",-
3343,"well , jason 's gone to manhattan and hell , i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger )",-
3344,director nancy savoca 's no frills record of a show forged in still raw emotions captures the unsettled tenor of that post 9 11 period far better than a more measured or polished production ever could,+
3345,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships,-
3346,"the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger",+
3347,"a highly spirited , imaginative kid 's movie that broaches neo augustinian theology is god stuck in heaven because he 's afraid of his best known creation ?",+
3348,"if a horror movie 's primary goal is to frighten and disturb , then they works spectacularly well a shiver inducing , nerve rattling ride",+
3349,"this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under 12 audience is concerned",+
3350,"while easier to sit through than most of jaglom 's self conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points",-
3351,a workshop mentality prevails,-
3352,"about amy 's cuteness , amy 's career success ( she 's a best selling writer of self help books who ca n't help herself ) , and amy 's neuroses when it comes to men",-
3353,"kids five and up will be delighted with the fast , funny , and even touching story parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults",+
3354,"hashiguchi vividly captures the way young japanese live now , chafing against their culture 's manic mix of millennial brusqueness and undying , traditional politesse",+
3355,"a cross between blow and boyz n the hood , this movie strives to be more , but does n't quite get there good performances keep it from being a total rehash",-
3356,"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?",-
3357,"instead of a hyperbolic beat charged urban western , it 's an unpretentious , sociologically pointed slice of life",+
3358,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance,+
3359,"insomnia does not become one of those rare remakes to eclipse the original , but it does n't disgrace it , either",+
3360,cloaks a familiar anti feminist equation ( career kids misery ) in tiresome romantic comedy duds,-
3361,technically and artistically inept,-
3362,uneven but a lot of fun,+
3363,easily the most thoughtful fictional examination of the root causes of anti semitism ever seen on screen,+
3364,"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago",+
3365,the big screen scooby makes the silly original cartoon seem smart and well crafted in comparison,-
3366,kinnear and dafoe give what may be the performances of their careers,+
3367,it 's difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,-
3368,"mr goyer 's loose , unaccountable direction is technically sophisticated in the worst way",-
3369,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good",+
3370,one of a kind near masterpiece,+
3371,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the clich riddled genre can offer",+
3372,"the premise of abandon holds promise , but its delivery is a complete mess",-
3373,gosling provides an amazing performance that dwarfs everything else in the film,+
3374,a mess,-
3375,"portentous and pretentious , the weight of water is appropriately titled , given the heavy handedness of it drama",-
3376,a delightful entree in the tradition of food movies,+
3377,this is a very fine movie go see it,+
3378,neither revelatory nor truly edgy merely crassly flamboyant and comedically labored,-
3379,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons,+
3380,a didactic and dull documentary glorifying software anarchy,-
3381,"this version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience",+
3382,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu,-
3383,both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement,+
3384,"from beginning to end , this overheated melodrama plays like a student film",-
3385,"what lee does so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the spotlight",+
3386,"fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film",+
3387,includes too much obvious padding,-
3388,"the inevitable double and triple crosses arise , but the only drama is in waiting to hear how john malkovich 's reedy consigliere will pronounce his next line",-
3389,is this love or is it masochism ? binoche makes it interesting trying to find out,+
3390,"when the plot kicks in , the film loses credibility",-
3391,"clooney 's debut can be accused of being a bit undisciplined , but it has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh",+
3392,"amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard pressed to find a movie with a bigger , fatter heart than barbershop",+
3393,avary 's film never quite emerges from the shadow of ellis ' book,-
3394,"by halfway through this picture i was beginning to hate it , and , of course , feeling guilty for it then , miracle of miracles , the movie does a flip flop",-
3395,"worthless , from its pseudo rock video opening to the idiocy of its last frames",-
3396,"one of the finest , most humane and important holocaust movies ever made",+
3397,"it delivers some chills and sustained unease , but flounders in its quest for deeper meaning",-
3398,"driven by a fantastic dual performance from ian holm the film is funny , insightfully human and a delightful lark for history buffs",+
3399,the observations of this social economic urban environment are canny and spiced with irony,+
3400,"a big , loud , bang the drum bore",-
3401,"while super troopers is above academy standards , its quintet of writers could still use some more schooling",-
3402,"as bundy , michael reilly burke ( octopus 2 river of fear ) has just the right amount of charisma and menace",+
3403,"antwone fisher is an earnest , by the numbers effort by washington it wo n't rock any boats but is solid meat and potatoes filmmaking",+
3404,the filmmakers lack the nerve to fully exploit the script 's potential for sick humor,-
3405,"a movie more to be prescribed than recommended as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms",-
3406,"a blair witch style adventure that plays like a bad soap opera , with passable performances from everyone in the cast",-
3407,it all feels like a monty python sketch gone horribly wrong,-
3408,"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class designed to provide a mix of smiles and tears , crossroads instead provokes a handful of unintentional howlers and numerous yawns",-
3409,arteta paints a picture of lives lived in a state of quiet desperation,+
3410,"an exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world",+
3411,steve irwin 's method is ernest hemmingway at accelerated speed and volume,+
3412,"a colorful , joyous celebration of life a tapestry woven of romance , dancing , singing , and unforgettable characters",+
3413,"the film is old fashioned , occasionally charming and as subtle as boldface",-
3414,an engrossing and infectiously enthusiastic documentary,+
3415,it 's one of the most honest films ever made about hollywood,+
3416,"it 's a film that 's destined to win a wide summer audience through word of mouth reviews and , not far down the line , to find a place among the studio 's animated classics",+
3417,"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone",+
3418,a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it,-
3419,"a deftly entertaining film , smartly played and smartly directed",+
3420,"greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders",+
3421,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start",+
3422,the mothman prophecies is a difficult film to shake from your conscience when night falls,+
3423,"give shapiro , goldman , and bolado credit for good intentions , but there 's nothing here that they could n't have done in half an hour",-
3424,the first half bursts with a goofy energy previous disney films only used for a few minutes here and there,+
3425,"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid",+
3426,"impostor ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies",-
3427,good looking but relentlessly lowbrow outing plays like clueless does south fork,-
3428,"the more kevin costner rests on his pretty boy laurels , the public is , regrettably , going to have tepid films like dragonfly tossed at them",-
3429,not completely loveable but what underdog movie since the bad news bears has been ? but certainly hard to hate,-
3430,"like its new england characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness",+
3431,"white has n't developed characters so much as caricatures , one dimensional buffoons that get him a few laughs but nothing else",-
3432,"the film is painfully authentic , and the performances of the young players are utterly convincing",+
3433,never once predictable,+
3434,"the plot has a number of holes , and at times it 's simply baffling",-
3435,"witless , pointless , tasteless and idiotic",-
3436,"given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors ' workshop that it is",-
3437,the movie 's seams may show but pellington gives mothman an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling,+
3438,takes a fresh and absorbing look at a figure whose legacy had begun to bronze,+
3439,"benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end",+
3440,"bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches",+
3441,"both overstuffed and undernourished the film ca n't be called a solid success , although there 's plenty of evidence here to indicate clooney might have better luck next time",-
3442,"it 's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate",-
3443,"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service",-
3444,"fans of the tv series will be disappointed , and everyone else will be slightly bored",-
3445,"too slow for a younger crowd , too shallow for an older one",-
3446,it ultimately stands forth as an important chronicle of the abuses of one of latin america 's most oppressive regimes,+
3447,"lucas has in fact come closer than anyone could desire to the cheap , graceless , hackneyed sci fi serials of the '30s and '40s",-
3448,"s1m0ne 's satire is not subtle , but it is effective it 's a quirky , off beat project",+
3449,a tale of horror and revenge that is nearly perfect in its relentless descent to the depths of one man 's tortured soul,+
3450,"the filmmakers wisely decided to let crocodile hunter steve irwin do what he does best , and fashion a story around him",+
3451,"personal velocity has a no frills docu dogma plainness , yet miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire she boxes these women 's souls right open for us",+
3452,"fincher takes no apparent joy in making movies , and he gives none to the audience",-
3453,"viewed as a comedy , a romance , a fairy tale , or a drama , there 's nothing remotely triumphant about this motion picture",-
3454,"an 83 minute document of a project which started in a muddle , seesawed back and forth between controlling interests multiple times , then found its sweet spot",+
3455,"for its 100 minutes running time , you 'll wait in vain for a movie to happen",-
3456,"the lightest , most breezy movie steven spielberg has made in more than a decade and the positive change in tone here seems to have recharged him",+
3457,not good enough to pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans,-
3458,a flick about our infantilized culture that is n't entirely infantile,+
3459,"so earnest and well meaning , and so stocked with talent , that you almost forget the sheer , ponderous awfulness of its script",-
3460,"a timid , soggy near miss",-
3461,a mess when it comes to the characters and writing but works its way underneath the skin like few movies have in recent memory,+
3462,there is a difference between movies with the courage to go over the top and movies that do n't care about being stupid,-
3463,"a film which presses familiar herzog tropes into the service of a limpid and conventional historical fiction , when really what we demand of the director is to be mesmerised",-
3464,it is too bad that this likable movie is n't more accomplished the actors try hard but come off too amateurish and awkward,-
3465,"visits spy movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last",+
3466,murder and mayhem of this sort quickly becomes monotonous,-
3467,"made me feel uneasy , even queasy , because solondz 's cool compassion is on the border of bemused contempt",-
3468,"if you love motown music , you 'll love this documentary",+
3469,it 's both sitcomishly predictable and cloying in its attempts to be poignant,-
3470,"leigh is one of the rare directors who feels acting is the heart and soul of cinema he allows his cast members to make creative contributions to the story and dialogue this method almost never fails him , and it works superbly here",+
3471,"oedekerk wrote patch adams , for which he should not be forgiven why he was given free reign over this project he wrote , directed , starred and produced is beyond me",-
3472,"with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill",+
3473,"on a cutting room floor somewhere lies footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire",-
3474,woo 's fights have a distinct flair his warriors collide in balletic explosion that implies an underlying order throughout the chaos,+
3475,villeneuve seems to realize intuitively that even morality is reduced to an option by the ultimate mysteries of life and death,+
3476,nearly every attempt at humor here is doa,-
3477,the nicest thing that can be said about stealing harvard ( which might have been called freddy gets molested by a dog ) is that it 's not as obnoxious as tom green 's freddie got fingered,-
3478,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences",+
3479,the movie gets muted and routine,-
3480,"a penetrating , potent exploration of sanctimony , self awareness , self hatred and self determination",+
3481,denis and co writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing lead provocatuers testud and parmentier give superlative performances,+
3482,"does paint some memorable images , but makhmalbaf keeps her distance from the characters",-
3483,"a much better documentary more revealing , more emotional and more surprising than its pedestrian english title would have you believe",+
3484,"this tale has been told and retold the races and rackets change , but the song remains the same",-
3485,"sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely",-
3486,"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution",-
3487,"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction",-
3488,the best part about gangs was daniel day lewis,+
3489,"sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit , yet it 's geared toward an audience full of masters of both",-
3490,vividly conveys the shadow side of the 30 year friendship between two english women,+
3491,it 's as if de palma spent an hour setting a fancy table and then served up kraft macaroni and cheese,-
